Codigo Libro        DNI            Fecha          Puntaje        
CRY6839        34460612            15/10/2023        93
WPU8819        42302422            09/02/2024        15
PQZ1316        34460612            02/04/2024        73
IIM5175        46582367            14/11/2023        50
KWL0415        37751890            23/09/2023        62
CPE5718        69200503            21/09/2023        19
SMW0186        36699613            25/10/2023        19
ZAL2738        51235238            07/05/2024        12
XTM9385        60740809            11/09/2023        29
HWM4049        72832218            22/01/2024        93
QMI4747        47659552            25/02/2024         1
DVL7760        69200503            01/10/2023        67
UCJ9882        54393647            23/01/2024        90
KSX7995        33583840            11/04/2024        29
WWT1581        27109544            29/04/2024        32
RWW7975        65071478            18/12/2023        10
RSK1164        38724322            18/12/2023       100
KGO1734        11750801            28/09/2023        72
DDQ0721        32231860            10/09/2023        57
XIU2628        86898639            21/03/2024         7
XIU6076        47659552            22/12/2023         6
BTX3816        92240876            23/03/2024        68
FYV9055        65071478            02/12/2023        58
KGO1734        66747161            01/10/2023        47
FYV9055        14268463            13/04/2024        22
VFZ9435        45834351            16/02/2024        90
QBL9575        17750908            02/05/2024        49
YZV6954        42302422            11/03/2024        59
TOJ1764        65830353            11/01/2024        73
HGQ0131        37751890            15/03/2024        28
PCS8992        21344013            04/03/2024         3
GOG7446        96056368            11/11/2023        24
DEK2757        86898639            06/03/2024         4
CRY6839        33958767            03/11/2023        37
JZC7527        67066631            10/09/2023        14
NEW1762        20449598            19/01/2024        40
JSM8271        15129661            31/01/2024        81
JXK3142        69200503            16/02/2024        49
YJI3961        47659552            23/10/2023        91
ZQD4253        21344013            15/01/2024        75
SMI7078        92240876            12/02/2024        24
JXK3142        87804471            05/12/2023        41
DPZ8059        45002711            23/03/2024        91
LRV5687        33958767            06/10/2023        62
WYE2119        11750801            13/10/2023        22
SQB7146        72832218            28/09/2023        76
WOF6634        15129661            19/02/2024        27
BZY0235        14268463            24/09/2023         5
GKG6581        69200503            28/01/2024        10
JZC7527        20610190            06/03/2024        88
ELC8965        87804471            05/01/2024        78
JXK3142        81082011            11/01/2024        59
HRT0664        35030611            03/10/2023         5
JGG5049        61212473            09/01/2024         4
NEO9165        88080249            26/04/2024        92
HPP3360        85870289            26/09/2023        66
JZU0977        83265244            06/11/2023        82
SFR1226        34460612            02/09/2023        91
EZP0333        81462164            27/04/2024        63
FNM6936        27109544            01/02/2024        65
WYE2119        69200503            24/04/2024        95
GWE4133        65830353            02/04/2024         5
CRY6839        37751890            27/04/2024        72
RNG2321        87804471            04/04/2024        58
CMP1150        81462164            06/09/2023        92
