                                    Rgistro de pedidos Fecha
Fecha de pedidoDNI cliente    Cantidad solicitada
20230905       89298238            3
20230905       89298238            3
20230905       76388967            2
20230905       16151792            3
20230905       43877279            5
20230905       80048864            5
20230905       22280452            2
20230905       98589725            1
20230905       42798099            1
20230905       12663268            1
20230905       63437380            2
20230905       55552996            6
20230905       54716824            3
20230905       13245501            5
20230905       69324480            1
20230905       60574154            2
20230905       73914283            3
20230905       93845419            5
20230905       67418025            6
20230905       62566305            3
20230905       46462527            4
20230905       13245501            5
20230905       64394265            1
20230904       25171011            4
20230904       76388967            6
20230904       50375303            5
20230904       69975105            5
20230904       50375303            5
20230904       66409237            3
20230904       31611146            4
20230904       88956889            2
20230904       69324480            5
20230904       91897732            2
20230904       27912250            3
20230904       35565959            5
20230904       88995291            3
20230904       88956889            3
20230904       45783712            4
20230904       42928709            4
20230904       42928709            5
20230904       12663268            3
20230904       77191257            4
20230904       50375303            4
20230904       91897732            2
20230904       32565207            6
20230904       33397650            3
20230904       63437380            5
20230904       38913831            3
20230904       94080926            5
20230904       36380447            2
20230904       48184351            1
20230904       85949265            4
20230904       26233063            1
20230904       44229880            4
20230903       96258632            2
20230903       42798099            2
20230903       43043986            1
20230903       40112594            4
20230903       16151792            1
20230903       37110873            6
20230903       26976877            4
20230903       12663268            4
20230903       15561764            2
20230903       99842319            2
20230903       32904023            6
20230903       89429489            1
20230903       59407188            1
20230903       71378466            2
20230903       62566305            1
20230903       79901434            2
20230903       95751208            4
20230903       73535476            5
20230903       16552775            6
20230903       33713901            1
20230903       52097922            2
20230903       69324480            3
20230903       73535476            4
20230903       23928045            2
20230903       26290971            3
20230903       52097922            4
20230903       57263719            5
20230903       54761731            5
20230903       79901434            5
20230903       50375303            5
20230903       52097922            6
20230903       96659352            3
20230902       33713901            2
20230902       59407188            3
20230902       32821689            5
20230902       50365593            6
20230902       84165595            6
20230902       55552996            1
20230902       79372768            4
20230902       79420973            3
20230902       89863424            1
20230902       89298238            4
20230902       77191257            2
20230902       98140264            1
20230902       29337157            4
20230902       32904023            4
20230902       94080926            5
20230902       24995742            3
20230902       50365593            6
20230902       90237332            3
20230902       78078115            5
20230902       15210391            3
20230902       88956889            4
20230902       41036366            4
20230902       20864087            6
20230902       15210391            4
20230902       78922174            6
20230902       37110873            1
20230902       88956889            6
20230902       89429489            3
20230902       95161027            5
20230902       90365520            5
20230902       69324480            1
20230902       20864087            1
20230902       20864087            4
20230902       79372768            5
20230902       53166028            3
20230902       79901434            6
20230902       45783712            6
20230902       13245501            5
20230902       43053402            6
20230902       50375303            1
20230902       86828079            5
20230902       33397650            6
20230902       66409237            4
20230902       57263719            4
20230902       40348917            2
20230902       79140840            5
20230902       66409237            6
20230902       98140264            3
20230902       42928709            5
20230901       41036366            4
20230901       78078115            4
20230901       16151792            6
20230901       49087435            2
20230901       89148118            1
20230901       84165595            1
20230901       79420973            5
20230901       43043986            5
20230901       17913944            1
20230901       96659352            4
20230901       73185299            3
20230901       91897732            5
20230901       87813843            3
20230901       22280452            3
20230901       71984468            1
20230901       35565959            1
20230901       13245501            3
20230901       77191257            5
20230901       19829266            3
20230901       78922174            3
20230901       28390487            2
20230901       31611146            4
20230901       32904023            4
20230901       50365593            3
20230901       43488351            6
20230901       83236386            5
20230901       89298238            4
20230901       84165595            6
20230901       86241107            2
20230901       40348917            1
20230901       77191257            6
20230901       93160528            1
20230901       42798099            5
20230901       79140840            4
