CODIGO     FECHA       DNI      CANTIDAD
OPJ-039  21/08/2023  90365520       1
BWD-036  21/08/2023  77191257       5
OPT-996  21/08/2023  69639726       3
CIM-038  21/08/2023  11602775       4
ZWF-661  21/08/2023  32565207       6
VDD-853  21/08/2023  49087435       2
PJG-338  21/08/2023  49087435       1
VVS-017  21/08/2023  45877001       4
TMN-884  21/08/2023  79140840       5
QHC-492  21/08/2023  98140264       4
WLL-607  21/08/2023  91897732       1
KWP-672  21/08/2023  90365520       6
JJN-837  21/08/2023  71984468       5
SJQ-827  21/08/2023  49087435       1
HFM-021  21/08/2023  15210391       1
IHG-413  21/08/2023  17913944       4
UTN-601  21/08/2023  17972674       1
PVZ-181  21/08/2023  90237332       5
XZR-640  21/08/2023  49087435       6
UWA-476  21/08/2023  37110873       2
VCL-867  21/08/2023  25171011       1
TMJ-043  21/08/2023  85949265       6
YUQ-590  21/08/2023  85949265       2
ZAF-449  21/08/2023  26233063       2
TXM-139  21/08/2023  43043986       3
ZEX-027  21/08/2023  29337157       3
JFC-432  21/08/2023  38913831       3
EJW-346  21/08/2023  83505958       3
TMJ-043  21/08/2023  11602775       6
QFR-958  21/08/2023  45783712       3
YJD-279  21/08/2023  17913944       5
VRR-793  21/08/2023  81114108       4
DUG-251  21/08/2023  81114108       5
FQG-293  21/08/2023  55552996       1
TZY-323  21/08/2023  50365593       1
CSZ-863  21/08/2023  57690875       5
SAM-013  21/08/2023  32904023       3
WZD-331  21/08/2023  40348917       3
EBI-299  21/08/2023  40112594       3
FLJ-040  21/08/2023  40348917       2
HLR-109  21/08/2023  44229880       5
TYF-885  21/08/2023  62566305       4
VXS-438  21/08/2023  58187172       2
QFP-254  21/08/2023  71463316       6
RAH-420  21/08/2023  15561764       4
VXS-438  21/08/2023  89429489       1
TZY-323  21/08/2023  95161027       5
YUQ-590  22/08/2023  77484838       6
ISU-815  22/08/2023  32821689       1
LWG-915  22/08/2023  27912250       4
TZY-323  22/08/2023  26290971       5
CIM-038  22/08/2023  73535476       3
RSE-049  22/08/2023  15210391       5
KCO-488  22/08/2023  35584593       1
OPT-996  22/08/2023  25171011       6
TMJ-043  22/08/2023  78078115       3
ZXK-295  22/08/2023  78757121       4
YZD-580  22/08/2023  38913831       1
OTW-288  22/08/2023  94080926       5
QRC-609  22/08/2023  87800799       1
AVM-258  22/08/2023  77191257       6
ICX-503  22/08/2023  66409237       5
MMA-577  22/08/2023  52097922       2
DFF-034  22/08/2023  78078115       2
RSE-049  22/08/2023  76388967       6
YYK-309  22/08/2023  64394265       6
QHC-492  22/08/2023  84165595       4
BTO-226  22/08/2023  77484838       4
OQI-373  22/08/2023  78757121       3
PQH-935  22/08/2023  71984468       2
NSR-955  22/08/2023  93845419       2
XLF-273  22/08/2023  43488351       5
BWD-036  22/08/2023  80048864       3
HFC-845  22/08/2023  36008913       6
XZR-640  22/08/2023  78078115       5
QTK-083  22/08/2023  89298238       3
GXF-122  22/08/2023  37110873       2
HFC-845  22/08/2023  86241107       3
LWG-915  22/08/2023  27912250       1
JYQ-045  22/08/2023  15561764       6
SPR-580  22/08/2023  20864087       1
WZD-331  22/08/2023  16151792       3
VJI-529  22/08/2023  95161027       2
QTK-083  23/08/2023  43488351       6
OFS-384  23/08/2023  81114108       3
LDR-510  23/08/2023  87813843       6
