                                                  Reporte Clientes 
===============================================================================================================================================================================
Dni Cliente                   Nombre Cliente                               Total gastado  Productos
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
79464412       PORTUGAL RAFFO ALEXANDER                                    6137.81        Productos entregados: CJE-310 NSM-283 JXD-139 MTF-868 
16552775       YALLICO PAREDES LOURDES CARMELA                             3096.66        Productos entregados: AWB-345 CNN-411 
20864087       ZEGARRA CASANOVA ESTEFANIA                                  6979.51        Productos entregados: BXY-119 JFC-432 JDQ-505 YUQ-590 SPR-580 
94326707       CHANG SEGURA ANGEL                                          0              Productos entregados: NO SE LE ENTREGARON PRODUCTOS
73786035       ORTIZ EPIQUEN HENRY ISRAEL                                  795.51         Productos entregados: AQS-362 DEN-125 
31193794       GARCIA YINO AMERICO WALDEMAR                                2746.59        Productos entregados: JDC-028 BXY-119 
96659352       BRAVO VIZCARRA ROBERTO                                      5601.06        Productos entregados: ADX-669 KQA-580 GBJ-693 KQQ-136 
57690875       NORABUENA VILLEGAS ARTURO RAFAEL                            6891.17        Productos entregados: CSZ-863 CIM-038 XLF-273 XTE-383 
69975105       VALDERRAMA MENDOZA LUIS ADOLFO                              7125.8         Productos entregados: WZD-331 FQG-293 HFM-021 TMJ-043 
54761731       LOYOLA IBEROS ANGEL GUSTAVO                                 12992.3        Productos entregados: DEV-433 ZVA-180 FVB-607 VZV-827 OTS-581 
67418025       MOSCOSO SUELDO MARINA                                       7681.36        Productos entregados: QUU-384 EVN-510 FEG-454 YYU-726 
77642521       SORIA CASTILLO LUIS GUSTAVO                                 6656.13        Productos entregados: QUU-384 DFJ-952 YYU-726 
35584593       LAM VIZCARDO MILAGROS YVONNE                                4078.54        Productos entregados: SSD-176 AVM-258 KCO-488 
43053402       BENAVENTE ZIMIC MADELEINE ZKENIA                            4024.42        Productos entregados: YOT-530 MMA-577 VRR-793 FVQ-662 
84165595       SALAMANCA GAVIDIA ALEX                                      7189.53        Productos entregados: DFJ-952 RDT-761 HFM-021 JFC-432 QHC-492 
89298238       ALFARO PRECIADO JOHNNY                                      11753.2        Productos entregados: PFD-286 QTK-083 QFP-254 UJV-290 YOT-530 YOT-530 JXD-139 ICX-503 
71984468       IPARRAGUIRRE VILLEGAS NICOLAS EDILBERTO                     4415.38        Productos entregados: PQH-935 JJN-837 TZY-323 
29847168       ALDAVE ZEVALLOS ROSARIO                                     1872.53        Productos entregados: BCK-361 
79475585       RETTO ARCA ANNIE MAGDA                                      2225.9         Productos entregados: BWD-036 KQQ-136 
91897732       GAMARRA ALCOCER VIRGINIA                                    23506.8        Productos entregados: TMN-884 XZR-640 WLL-607 OXP-732 PFD-286 
33397650       RONDON EGUSQUIZA CARMELA VALENTINA                          1420.37        Productos entregados: IHG-413 VJI-529 
83236386       RIVERO CORRALES JUAN FERNANDO                               5567.55        Productos entregados: UJV-290 MTF-868 OPT-996 OFS-384 
32821689       ZAVALETA EPIQUEN CARMEN ZKENIA                              4025.45        Productos entregados: ONB-903 MMA-577 MTF-868 ISU-815 
45783712       POZO CHUNG RAFAEL DEL                                       12467.7        Productos entregados: YUQ-590 QFR-958 SNY-500 VZV-827 YMU-875 SSD-176 
48184351       LOPEZ JAUREGUI ROLANDO                                      4000.87        Productos entregados: KQA-580 TXM-139 
33713901       VILLEGAS CASTRO SOFIA VIRGINIA                              6694.24        Productos entregados: ZVA-180 UWA-476 VVS-017 
76388967       GONZALES QUIO ISABEL                                        15713.4        Productos entregados: SJQ-827 EBI-299 RSE-049 CNQ-172 PFD-286 DOV-560 
81114108       ZAMBRANO SHIRAKAWA WILMER                                   10922.2        Productos entregados: VRR-793 BCN-855 RBE-789 DFF-034 OFS-384 DUG-251 VCL-867 
57263719       PRADO TORREALBA CARMEN JANET                                9365.91        Productos entregados: TZY-323 BWD-036 OTH-462 YOT-530 OTH-462 ZWF-661 DOV-560 
79140840       TORREALBA ARCA VICTORIA GLENDA                              4727.23        Productos entregados: DFF-034 TYF-885 HLR-109 OTH-462 TMN-884 JXD-139 QRC-609 
71378466       MIYAKE CARO HENRRY EDGAR                                    4929.48        Productos entregados: BIT-434 FVQ-662 ARS-231 OQI-373 XSD-310 
17913944       PALOMARES SANTISTEBAN HENRRY                                4280.54        Productos entregados: IHG-413 DEN-125 YJD-279 XLF-273 
62566305       ROMERO ALFARO MONICA JOHANA                                 8815.95        Productos entregados: TYF-885 DIQ-718 GXF-122 AVM-258 CNQ-172 
46462527       LOYOLA MORI NICOLAS FERNANDO                                4026.26        Productos entregados: KCO-488 KWP-672 LWG-915 ISU-815 
79420973       AURIS JOLAY DIANA                                           4353.74        Productos entregados: SSE-115 GXF-122 
22777006       ASMAD PINTO MARIA LORENA                                    10572.4        Productos entregados: YYK-309 FCN-617 XLF-273 
43877279       RARAZ SUCHERO ADOLFO                                        7204.48        Productos entregados: SNY-500 TYF-885 SSD-176 QUU-384 
73535476       AYALA SANCHEZ MARIA TERESA                                  10754.5        Productos entregados: FLJ-040 UWA-476 CIM-038 LDR-510 KJX-387 
26976877       TORO CUBA DIALY DIANA                                       10171.9        Productos entregados: VTV-269 AFL-718 JXD-139 SSE-115 KQQ-136 YUQ-590 XZG-521 
78078115       TSUKAZAN AMEZQUITA DELIA                                    15521.3        Productos entregados: XZR-640 DFF-034 FQG-293 XOA-735 TMJ-043 DFJ-952 SSD-176 PJG-338 
48467976       BENITES SANCHEZ MARGOT DELICIA                              1572.31        Productos entregados: JDQ-505 
41036366       JUSTINO LOYOLA JENNY MAGDA                                  4973.56        Productos entregados: SJD-818 AQS-362 QVJ-982 
31611146       LANDEO LARRIEGA MARTIN                                      4262.34        Productos entregados: YOT-530 FVQ-662 XSD-310 
64394265       SALAZAR GONZALES DAVID RAFAEL                               7982.91        Productos entregados: OFS-384 YUQ-590 YYK-309 OTW-288 
50365593       SUAREZ BRAVO MARIELLA TATIANA                               10951.4        Productos entregados: AFL-718 JDC-028 LWG-915 TMN-884 ZVA-180 TZY-323 VVS-017 
95751208       CORONEL ZEGARRA FIORELLA                                    4495           Productos entregados: UOD-420 BWD-036 BRD-969 
79372768       BERROCAL YALLICO ANNIE SOFIA                                7804.06        Productos entregados: GLC-370 QVJ-982 SAM-013 EUZ-452 
27912250       CUBA CHUNG ISRAEL EDILBERTO                                 8734.79        Productos entregados: ICX-503 LWG-915 QFR-958 FLJ-040 LWG-915 
60574154       LOZADA GONZALES JAIME                                       3588.45        Productos entregados: BWD-036 III-576 KDA-627 
35565959       VILCARA RODRIGUEZ ANNIE                                     12470.6        Productos entregados: CIM-038 QRC-609 DFJ-952 BZS-261 VJI-529 JXD-139 
80048864       JUSTINO CASTILLO SANDRO CHRISTIAN                           6737.24        Productos entregados: BCK-361 RDT-761 PPX-620 BWD-036 
96258632       FLORENCIO GARCIA WALTER                                     6850.58        Productos entregados: CRU-009 QHC-492 EBI-299 
94080926       SORIA CRUZ MADELEINE                                        8433.6         Productos entregados: NMV-644 TXM-139 CIM-038 OTW-288 SPR-580 
42157219       LUNA CUEVA RICHARD                                          6035.65        Productos entregados: OTS-581 III-576 KCO-488 KWP-672 
86241107       SANCHEZ EPIQUEN EDGAR MELVIN                                8912           Productos entregados: CIM-038 HFC-845 UXG-019 FEG-454 
26290971       SANTISTEBAN AYALA CAROLA MARITZA                            5119.16        Productos entregados: PVZ-181 TYF-885 GKG-558 TZY-323 
22280452       GONZALES MALDONADO ZKENIA ERIKA                             5792.57        Productos entregados: XSD-310 VRR-793 UCX-285 
90365520       PALOMINO ADAMS SANDRO RONALD                                10211.6        Productos entregados: KWP-672 KBY-991 OPJ-039 EUZ-452 VDD-853 
40348917       VEGA TSUKAZAN VALENTINA                                     12735          Productos entregados: WZD-331 SNY-500 FLJ-040 BMJ-772 DFJ-952 VRR-793 
95161027       FALCON POZO WALTER                                          10811.5        Productos entregados: VJI-529 III-576 VVS-017 FQG-293 OQI-373 TZY-323 
77191257       CORRALES ZUNIGA JENNY                                       15812          Productos entregados: QVJ-982 ZWF-661 KWP-672 TZY-323 ZEX-027 AVM-258 BWD-036 
62324793       GAVIDIA MORENO ISRAEL ROLANDO                               10725.1        Productos entregados: LDR-510 YJD-279 FQG-293 XBD-314 OPJ-039 
16151792       DURAND CASTRO FLOR MARTHA                                   11645.7        Productos entregados: WZD-331 CNQ-172 AQS-362 TZY-323 IDO-503 AQS-362 
66409237       CANO DELGADO WILLIAMS                                       11059.9        Productos entregados: DFF-034 AWT-354 BRD-969 UXG-019 ICX-503 CRU-009 
63437380       PINTO CABELLO SILVIA FELICITA                               7173.77        Productos entregados: PJG-338 III-576 AWB-345 KQA-580 YEZ-591 
95015539       CHANG SAONA RONALD                                          1713.57        Productos entregados: CSZ-863 
25171011       CRUZ JUGO SANDRO FAUSTO                                     11260.1        Productos entregados: VCL-867 OPT-996 AWB-345 CIM-038 QRC-609 VCL-867 DFJ-952 
90237332       ESPINOZA CASTRO YDALI GIOVANA                               4574.84        Productos entregados: PFD-286 QFP-254 PVZ-181 OQI-373 TKM-141 
87800799       QUIROGA SALAZAR JOHNNY ROBERTO                              13327          Productos entregados: KWP-672 VRR-793 WZD-331 GBD-525 ICX-503 BTO-226 EUZ-452 QRC-609 JDC-028 
38637282       TABORI CARBAJAL YDALI MAGDA                                 4508.59        Productos entregados: FLJ-040 OFS-384 
15561764       VILLEGAS CASTRO ALONSO                                      1898.82        Productos entregados: GBJ-693 JYQ-045 FYF-898 RAH-420 
45877001       SORIA VILLA HENRRY                                          5987.75        Productos entregados: VVS-017 PJG-338 GBJ-693 RDT-761 KBY-991 
